,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
56,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Social Pantry,51.464466208967174,-0.16140039785682775,Café
57,7th Phase JP Nagar,51.4619523,-0.15961689999999998,The King of Ladies Man,51.46100513405932,-0.16290252767415211,Cocktail Bar
58,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Palace Spice,51.46519939038356,-0.15775284234937453,Indian Restaurant
59,7th Phase JP Nagar,51.4619523,-0.15961689999999998,BAC (Battersea Arts Centre),51.464816262893905,-0.16077216856928778,Theater
60,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Cafe Lagu,51.465186,-0.15826,Café
61,7th Phase JP Nagar,51.4619523,-0.15961689999999998,BabaBoom,51.46097951100518,-0.16448707909862736,Middle Eastern Restaurant
62,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Mien Tay,51.46440462907585,-0.16286918361467348,Vietnamese Restaurant
63,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Donna Margherita,51.46478091522619,-0.15975441860583936,Italian Restaurant
64,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Costa Do Estoril,51.46550337699917,-0.15606205499657294,Portuguese Restaurant
65,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Il Molino,51.46500950203509,-0.15853849463693695,Café
66,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Southsider Cocktail Club,51.4609020291749,-0.16569779026624754,Cocktail Bar
67,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Pizza Metro Pizza,51.46085995000714,-0.1661857508646009,Pizza Place
68,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Hana,51.46087248232892,-0.1659122136081304,Korean Restaurant
69,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Rise 46,51.46092868795672,-0.16511857495709012,Cocktail Bar
70,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Tumnan Thai,51.46495680778025,-0.1589480870855493,Thai Restaurant
71,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Côte Brasserie,51.460931115956,-0.16407571222456044,French Restaurant
72,7th Phase JP Nagar,51.4619523,-0.15961689999999998,The Crown,51.4656759,-0.1559874,Pub
73,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Khan's,51.4650023375,-0.158916,Indian Restaurant
74,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Cafe Parisienne,51.46447453317684,-0.1619478896556436,Coffee Shop
75,7th Phase JP Nagar,51.4619523,-0.15961689999999998,The Gaylord,51.460901400000004,-0.165065,Indian Restaurant
76,7th Phase JP Nagar,51.4619523,-0.15961689999999998,The Merchant,51.46097267690847,-0.16353871760168673,Pub
77,7th Phase JP Nagar,51.4619523,-0.15961689999999998,The Goat,51.46086901176878,-0.16639071776314573,Pub
78,7th Phase JP Nagar,51.4619523,-0.15961689999999998,The Lavender,51.46492490666174,-0.1592887280584977,Restaurant
79,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Thai Garden,51.460826,-0.165747,Thai Restaurant
80,7th Phase JP Nagar,51.4619523,-0.15961689999999998,Clapham Common Westside Playground,51.46020833504708,-0.16003993197972644,Playground
